taxa_id	count_won_vote	count_truth_table	accuracy
61435	3	3	1
61645	1	1	1
62140	1	1	1
62322	3	3	1
63186	1	1	1
63612	2	2	1
63742	1	1	1
64159	2	2	1
64160	2	2	1
64471	2	2	1
64895	5	5	1
64897	1	1	1
65058	1	1	1
65551	1	1	1
66084	2	2	1
66219	2	2	1
67572	1	1	1
67825	1	1	1
67854	4	4	1
68280	2	2	1
68287	1	2	0.5
68288	2	2	1
68335	1	1	1
68909	5	5	1
69223	0	1	0
69474	2	2	1
69499	1	1	1
69525	1	1	1
69823	1	1	1
69965	3	3	1
69966	3	3	1
70864	1	1	1
71666	1	1	1
71667	1	1	1
73029	5	5	1
73913	1	1	1
74109	1	1	1
74313	2	2	1
74317	1	1	1
74318	1	1	1
74968	4	4	1
76890	1	1	1
78331	1	1	1
78535	0	1	0
78587	1	1	1
79206	1	1	1
79209	1	1	1
79328	2	2	1
79329	2	2	1
79885	1	1	1
79967	1	1	1
80816	1	1	1
80849	1	1	1
80865	3	3	1
80866	2	2	1
80867	2	2	1
80869	1	1	1
81028	1	1	1
81461	2	2	1
81462	2	2	1
81466	1	1	1
81468	1	1	1
81682	1	1	1
82996	1	1	1
83171	3	3	1
83554	0	1	0
83555	1	1	1
83556	1	1	1
83557	1	1	1
83558	1	1	1
83560	1	1	1
83618	3	3	1
83677	4	4	1
83984	1	1	1
84108	1	1	1
84110	1	1	1
84111	1	1	1
84112	1	1	1
84156	1	1	1
84377	1	1	1
84378	1	1	1
84404	1	1	1
84405	1	1	1
84565	2	2	1
84567	2	4	0.5
84588	1	1	1
84590	1	1	1
84593	1	1	1
84595	1	1	1
84599	1	1	1
84756	1	1	1
84757	1	1	1
84980	2	2	1
85643	1	1	1
85701	1	1	1
86170	1	1	1
86304	4	4	1
86665	2	2	1
87883	1	1	1
88058	1	1	1
88688	3	3	1
88723	1	1	1
89154	1	1	1
89184	1	1	1
89404	1	1	1
89583	1	2	0.5
93466	1	1	1
93929	1	2	0.5
93930	2	2	1
94122	4	4	1
94254	2	2	1
95486	6	7	0.857142857142857
95641	0	1	0
96345	2	2	1
97050	4	4	1
97084	1	1	1
97393	4	4	1
98228	0	1	0
100379	1	1	1
100715	1	1	1
100716	1	1	1
103690	1	1	1
104264	4	4	1
105560	1	1	1
105850	1	1	1
106370	4	4	1
106589	3	3	1
106590	1	1	1
106633	1	1	1
107709	2	2	1
108150	1	1	1
109168	2	2	1
110500	1	1	1
110539	1	1	1
110662	1	1	1
110932	1	1	1
111500	1	1	1
111501	1	1	1
112040	1	1	1
114615	1	1	1
114616	1	2	0.5
114627	5	5	1
117207	4	4	1
117575	1	1	1
117999	1	1	1
118000	1	1	1
118562	1	1	1
119219	2	2	1
119394	1	1	1
119484	5	5	1
119864	1	1	1
119977	1	1	1
120576	1	1	1
120652	2	2	1
120831	2	2	1
120961	1	1	1
120962	1	1	1
121277	2	2	1
122277	2	2	1
126740	1	1	1
129001	1	1	1
129337	2	2	1
129957	2	2	1
129958	2	2	1
131568	5	5	1
133193	4	4	1
133539	2	2	1
135575	1	1	1
135577	1	1	1
136609	2	2	1
138072	1	1	1
143361	1	1	1
146784	0	1	0
146785	1	1	1
146786	1	1	1
146825	1	1	1
146826	1	1	1
146918	2	2	1
146919	2	2	1
146937	1	1	1
146939	1	1	1
148447	1	1	1
149715	1	1	1
150022	2	2	1
150247	1	1	1
150340	1	1	1
151895	4	4	1
152053	2	2	1
152260	3	3	1
152480	5	6	0.833333333333333
155077	1	1	1
155322	0	1	0
155493	1	1	1
155862	1	1	1
155863	1	1	1
155892	1	1	1
155977	1	1	1
155978	1	1	1
156454	0	1	0
156456	0	1	0
158080	3	3	1
158899	1	1	1
159743	1	1	1
160232	1	1	1
160233	1	1	1
160674	0	1	0
160791	2	2	1
160798	1	1	1
160808	1	1	1
161492	5	5	1
161493	3	3	1
161879	2	2	1
162027	1	1	1
162171	4	4	1
164450	1	1	1
164451	1	1	1
164514	1	1	1
164756	1	1	1
164757	1	1	1
165695	1	1	1
165696	4	4	1
165697	4	4	1
168470	1	1	1
168471	1	1	1
168694	1	1	1
168695	1	1	1
169292	1	1	1
171695	1	1	1
172042	0	1	0
172049	2	2	1
177758	1	1	1
178440	2	2	1
179636	1	1	1
181486	1	1	1
182210	1	1	1
182337	1	1	1
182639	2	2	1
182640	2	2	1
182709	3	3	1
182710	3	3	1
182899	1	1	1
184117	1	1	1
186191	1	1	1
186192	1	1	1
186490	3	3	1
186765	0	1	0
186794	0	2	0
187137	1	1	1
187327	1	1	1
187878	2	2	1
188905	4	4	1
191291	2	2	1
191373	1	1	1
191494	1	1	1
191495	1	1	1
192073	4	4	1
192843	3	3	1
193568	1	1	1
195041	0	1	0
196118	4	4	1
196162	4	4	1
197162	1	1	1
199596	2	2	1
200451	0	5	0
201096	1	1	1
202746	4	4	1
202747	1	1	1
202907	1	1	1
203804	1	1	1
203907	1	1	1
204037	1	1	1
204038	1	1	1
204773	2	2	1
208215	1	1	1
208216	1	1	1
208226	5	5	1
208447	1	1	1
208596	1	1	1
212790	1	1	1
213219	0	1	0
213485	1	1	1
214906	5	5	1
215591	1	1	1
215813	1	1	1
216465	2	2	1
216816	4	4	1
221822	1	1	1
223967	1	2	0.5
225194	1	1	1
226665	0	1	0
228748	1	1	1
229545	0	1	0
230355	2	2	1
234827	1	1	1
239759	1	1	1
239934	1	1	1
239935	1	1	1
241192	1	1	1
242703	1	1	1
244363	0	1	0
244366	2	3	0.666666666666667
244787	2	2	1
248026	1	1	1
249529	2	2	1
251701	1	3	0.333333333333333
252306	1	1	1
252307	1	1	1
252356	1	1	1
252965	1	1	1
252966	1	1	1
256319	1	1	1
257758	1	2	0.5
258224	1	1	1
258255	1	1	1
259537	5	5	1
261292	1	1	1
261963	1	1	1
261964	1	1	1
263510	3	3	1
263511	3	3	1
265488	1	1	1
265570	1	1	1
265606	1	1	1
266009	1	1	1
266779	4	4	1
267818	1	1	1
269260	2	2	1
269261	2	2	1
271065	1	1	1
271097	3	3	1
271098	2	2	1
274539	1	1	1
278993	1	1	1
281119	1	1	1
281120	1	1	1
283734	3	3	1
284016	2	2	1
286801	1	1	1
286802	1	1	1
288000	3	4	0.75
290053	1	1	1
290399	4	4	1
290400	4	4	1
290513	3	3	1
291112	1	1	1
291988	1	1	1
291990	1	1	1
292414	4	4	1
296591	4	4	1
298653	4	4	1
300231	1	1	1
302485	2	2	1
303379	2	2	1
304895	2	2	1
305976	1	1	1
309512	1	1	1
309805	1	1	1
309806	1	1	1
309887	1	1	1
310783	1	1	1
311400	2	2	1
312306	2	2	1
313598	1	1	1
313603	1	1	1
314253	0	1	0
314282	1	1	1
314722	3	3	1
315405	1	1	1
316068	1	1	1
316277	1	1	1
316279	1	1	1
316612	1	1	1
316625	4	4	1
319458	1	1	1
321327	1	1	1
326319	1	1	1
328814	1	1	1
330214	1	1	1
330922	4	4	1
332056	1	1	1
332162	2	2	1
332163	2	2	1
332246	1	1	1
332248	1	1	1
332249	1	1	1
332410	6	6	1
334543	4	4	1
338565	1	1	1
341694	1	1	1
342948	1	1	1
342949	1	1	1
349221	1	1	1
351052	4	4	1
351745	3	3	1
357794	1	1	1
359303	4	4	1
359407	1	1	1
359408	1	1	1
360911	1	1	1
361575	2	2	1
364316	2	2	1
364317	2	2	1
364409	2	2	1
364410	2	2	1
366648	1	1	1
374840	0	1	0
375286	1	1	1
375288	2	2	1
375928	1	1	1
375929	1	1	1
376805	1	1	1
379067	1	1	1
379546	2	2	1
379547	2	2	1
380021	2	2	1
387093	1	1	1
387342	1	1	1
387343	1	1	1
390846	1	1	1
390884	1	1	1
392733	2	2	1
392734	1	1	1
393029	1	1	1
395568	0	1	0
395922	1	1	1
395961	1	1	1
396595	1	1	1
398743	2	2	1
399320	1	1	1
399726	1	1	1
399742	1	1	1
400668	1	1	1
401618	1	1	1
401619	1	1	1
404011	3	3	1
404589	1	1	1
405212	1	1	1
411566	1	1	1
412384	0	1	0
412963	2	2	1
413496	1	1	1
413502	1	1	1
413810	1	1	1
414878	2	2	1
415229	1	1	1
415450	0	1	0
416916	1	1	1
417127	2	2	1
426114	1	1	1
442430	1	1	1
443144	1	1	1
444163	2	2	1
447217	1	1	1
449972	4	4	1
450749	0	1	0
456327	1	1	1
457394	0	1	0
457401	0	1	0
457416	0	1	0
458032	1	1	1
458033	1	1	1
461876	1	1	1
463288	0	1	0
466152	1	1	1
466153	1	1	1
470565	0	1	0
470934	2	2	1
471223	1	1	1
471826	1	1	1
471827	1	1	1
475087	1	1	1
475088	1	1	1
477693	1	1	1
480224	1	1	1
481743	1	1	1
482564	0	1	0
482957	4	4	1
492670	2	2	1
496866	5	6	0.833333333333333
497965	1	1	1
498845	1	1	1
498846	1	1	1
499228	1	1	1
499229	1	1	1
511434	1	1	1
511435	1	1	1
511678	1	1	1
511745	1	1	1
511746	1	1	1
531813	1	1	1
536018	1	1	1
550542	1	1	1
551759	1	1	1
551760	1	1	1
552810	1	1	1
563031	0	1	0
563036	0	1	0
563038	0	1	0
563177	1	1	1
563769	0	1	0
568394	1	1	1
568987	1	1	1
575200	1	1	1
576610	2	2	1
580165	3	3	1
581103	1	1	1
583357	2	2	1
589436	0	1	0
589437	0	1	0
640512	1	1	1
644281	1	1	1
648999	1	1	1
651143	1	1	1
651305	0	2	0
651456	1	1	1
651457	1	1	1
657310	0	1	0
658061	2	2	1
658062	2	2	1
664662	3	3	1
670486	1	1	1
671267	0	1	0
702113	1	1	1
712461	0	1	0
712630	0	1	0
715451	1	1	1
717609	3	3	1
742013	1	1	1
748280	1	1	1
756883	1	1	1
759851	0	1	0
767891	2	2	1
767892	2	2	1
861914	1	1	1
863643	1	1	1
870903	1	1	1
875328	1	1	1
877455	1	1	1
884684	1	1	1
887061	1	1	1
891974	1	1	1
911045	1	1	1
911092	2	2	1
929509	1	1	1
936047	0	1	0
936048	0	1	0
936456	1	1	1
936476	1	1	1
936580	0	1	0
940557	2	2	1
940614	2	2	1
940615	2	2	1
944547	1	1	1
980427	0	1	0
981224	0	1	0
983545	1	1	1
983548	1	1	1
991903	2	2	1
991904	2	2	1
998453	0	20	0
1003110	1	1	1
1006005	1	1	1
1007105	1	1	1
1008460	1	1	1
1041504	1	1	1
1042156	1	1	1
1042877	1	1	1
1048757	1	1	1
1048758	1	1	1
1082930	1	1	1
1097668	1	1	1
1111069	1	1	1
1124597	4	4	1
1131703	1	1	1
1131707	1	1	1
1148157	1	1	1
1156431	0	1	0
1161412	0	1	0
1161942	1	1	1
1169025	1	1	1
1176649	1	1	1
1177712	1	1	1
1184387	1	1	1
1184396	1	1	1
1203471	1	1	1
1217908	1	1	1
1227276	0	1	0
1230476	0	5	0
1231241	0	1	0
1234146	0	1	0
1263100	0	1	0
1419814	0	1	0
1434011	1	1	1
1437443	0	1	0
1458253	0	1	0
1463851	0	1	0
1463891	0	1	0
1468410	0	1	0
1481960	3	3	1
1503055	0	1	0
1506553	2	2	1
1508657	5	5	1
1530123	0	1	0
1535326	2	2	1
1565146	0	1	0
1593237	0	1	0
1604598	0	1	0
1637257	1	1	1
1643951	2	2	1
1649298	0	1	0
1649480	1	1	1
1649482	4	4	1
1649490	1	1	1
1652133	1	1	1
1742992	2	2	1
1742993	2	2	1
1822464	5	5	1
